Question	Correct Answer	Term	Actual Ancestor	Source	Question Ancestor
Is an 'untufted pyramidal neuron' an 'anatomical entity'?	Yes	untufted pyramidal neuron	anatomical entity	CL	anatomical entity
Is an 'owl' an 'information content entity'?	No	owl	anatomical entity	FOODON	information content entity
Is a 'pink lentil' an 'anatomical entity'?	Yes	pink lentil	anatomical entity	FOODON	anatomical entity
Is a 'sea urchin' a 'characteristic'?	No	sea urchin	anatomical entity	FOODON	characteristic
Is a 'turkish snail' an 'anatomical entity'?	Yes	turkish snail	anatomical entity	FOODON	anatomical entity
Is a 'foramen nutritium' a 'characteristic'?	No	foramen nutritium	anatomical entity	UBERON	characteristic
Is a 'malleus cartilage element' an 'anatomical entity'?	Yes	malleus cartilage element	anatomical entity	UBERON	anatomical entity
Is a 'mesopodium bone' a 'generically dependent continuant'?	No	mesopodium bone	anatomical entity	UBERON	generically dependent continuant
Is a 'neural lamina' an 'anatomical entity'?	Yes	neural lamina	anatomical entity	UBERON	anatomical entity
Is a 'surangular bone' a 'specifically dependent continuant'?	No	surangular bone	anatomical entity	UBERON	specifically dependent continuant
Is a 'cell transfer function' a 'characteristic'?	Yes	cell transfer function	characteristic	OBI	characteristic
Is a 'cytological stain role' an 'information content entity'?	No	cytological stain role	characteristic	OBI	information content entity
Is 'increased volume' a 'characteristic'?	Yes	increased volume	characteristic	OBI	characteristic
Is 'fibrotic' an 'occurrent'?	No	fibrotic	characteristic	PATO	occurrent
Is 'generalized' a 'characteristic'?	Yes	generalized	characteristic	PATO	characteristic
Is 'peg-like' a 'material entity'?	No	peg-like	characteristic	PATO	material entity
Is 'prominent' a 'characteristic'?	Yes	prominent	characteristic	PATO	characteristic
Is 'broken into two pieces' a 'generically dependent continuant'?	No	broken into two pieces	characteristic	PATO	generically dependent continuant
Is 'size' a 'characteristic'?	Yes	size	characteristic	PATO	characteristic
Is 'superficial' a 'process'?	No	superficial	characteristic	PATO	process
Is a 'datum label' a 'generically dependent continuant'?	Yes	datum label	generically dependent continuant	IAO	generically dependent continuant
Is a 'dendrogram' an 'anatomical entity'?	No	dendrogram	generically dependent continuant	IAO	anatomical entity
Is a 'dot plot' a 'generically dependent continuant'?	Yes	dot plot	generically dependent continuant	IAO	generically dependent continuant
Is a 'heatmap' a 'characteristic'?	No	heatmap	generically dependent continuant	IAO	characteristic
Is a 'mass measurement datum' a 'generically dependent continuant'?	Yes	mass measurement datum	generically dependent continuant	IAO	generically dependent continuant
Is a 'programming language' a 'process'?	No	programming language	generically dependent continuant	IAO	process
Is a 'results section' a 'generically dependent continuant'?	Yes	results section	generically dependent continuant	IAO	generically dependent continuant
Is a 'scatter plot' a 'material entity'?	No	scatter plot	generically dependent continuant	IAO	material entity
Is an 'age since germination measurement datum' a 'generically dependent continuant'?	Yes	age since germination measurement datum	generically dependent continuant	OBI	generically dependent continuant
Is an 'extraction date' a 'characteristic'?	No	extraction date	generically dependent continuant	OBI	characteristic
Is a 'food' an 'independent continuant'?	Yes	food	independent continuant	FOODON	independent continuant
Is a 'lime marmalade' a 'specifically dependent continuant'?	No	lime marmalade	independent continuant	FOODON	specifically dependent continuant
Is a 'sapodilla plant' an 'independent continuant'?	Yes	sapodilla plant	independent continuant	FOODON	independent continuant
Is a 'disinfectant' an 'information content entity'?	No	disinfectant	independent continuant	IDO	information content entity
Is a 'microbicide' an 'independent continuant'?	Yes	microbicide	independent continuant	IDO	independent continuant
Is an 'automatic staining machine' a 'specifically dependent continuant'?	No	automatic staining machine	independent continuant	OBI	specifically dependent continuant
Is a 'decapitated organism' an 'independent continuant'?	Yes	decapitated organism	independent continuant	OBI	independent continuant
Is a 'homogenizer' an 'occurrent'?	No	homogenizer	independent continuant	OBI	occurrent
Is a 'mass selective detector' an 'independent continuant'?	Yes	mass selective detector	independent continuant	OBI	independent continuant
Is a 'respiratory system mucosa' a 'process'?	No	respiratory system mucosa	independent continuant	UBERON	process
Is an 'abstract' an 'information content entity'?	Yes	abstract	information content entity	IAO	information content entity
